타임스탬프,학년,성별,학과,취미,개인공부시간,공부 시간대,기대연봉(단위:만원),학과 만족여부,전공 선호도,소셜미디어 사용시간,등교시간,하교시간,하교후 가는 곳,학업 스트레스,친구관계,알바,방과후 여부
2023. 10. 12 오후 3:53:09,1학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),10000,O,6,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,나쁨,X,O
2023. 10. 12 오후 3:53:12,1학년,여자,소프트웨어개발과,기타,30분-1시간,방과후(저녁),10000,O,10,30-1시간,30-1시간,바로 집에 가요!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:53:26,1학년,남자,소프트웨어개발과,게임,0-30분,밤,3300,O,7,2시간-3시간 이상,30-1시간,바로 집에 가요!,집,나쁨,나쁨,X,O
2023. 10. 12 오후 3:53:28,2학년,남자,소프트웨어개발과,영상시청,30분-1시간,밤,2750,O,10,2시간-3시간 이상,30-1시간,바로 집에 가요!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 3:53:42,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),6000,X,4,30-1시간,30-1시간,18시 이후!,PC방,나쁨,매우 좋음,O,O
2023. 10. 12 오후 3:56:09,1학년,남자,소프트웨어개발과,게임,0-30분,기타,1800,O,5,1시간-2시간,10-30분,바로 집에 가요!,학원 또는 방과후,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 4:10:16,3학년,여자,소프트웨어개발과,음악,0-30분,밤,3000,X,7,1시간-2시간,10-30분,17시 ~ 17시 30분,집,좋음,나쁨,O,X
2023. 10. 12 오후 4:30:54,1학년,여자,창업마케팅과,게임,2시간-3시간 이상,밤,10000,O,10,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,학원 또는 방과후,매우 나쁨,나쁨,X,O
2023. 10. 12 오후 4:31:45,1학년,여자,창업마케팅과,게임,30분-1시간,밤,0,X,8,30-1시간,1시간-2시간,18시 이후!,식당,나쁨,매우 좋음,O,X
2023. 10. 12 오후 4:32:06,1학년,여자,창업마케팅과,기타,0-30분,밤,5000,X,4,2시간-3시간 이상,10-30분,18시 이후!,식당,좋음,매우 좋음,O,X
2023. 10. 12 오후 4:32:19,1학년,여자,창업마케팅과,예술,0-30분,밤,0,O,6,2시간-3시간 이상,1시간-2시간,18시 이후!,식당,좋음,나쁨,X,X
2023. 10. 12 오후 4:32:25,1학년,여자,창업마케팅과,예술,0-30분,기타,4700,X,5,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 12 오후 4:32:29,1학년,여자,창업마케팅과,기타,0-30분,기타,0,O,5,2시간-3시간 이상,10-30분,18시 이후!,PC방,좋음,좋음,X,X
2023. 10. 12 오후 4:32:31,1학년,남자,창업마케팅과,운동,30분-1시간,밤,3600,O,5,1시간-2시간,10-30분,바로 집에 가요!,학원 또는 방과후,좋음,나쁨,X,X
2023. 10. 12 오후 4:32:32,1학년,여자,창업마케팅과,기타,0-30분,기타,0,O,5,2시간-3시간 이상,1시간-2시간,17시 ~ 17시 30분,집,좋음,매우 좋음,X,X
2023. 10. 12 오후 4:32:40,1학년,여자,창업마케팅과,기타,0-30분,기타,0,X,0,0-30분,10-30분,18시 이후!,PC방,매우 좋음,매우 좋음,X,X
2023. 10. 12 오후 4:32:46,1학년,여자,창업마케팅과,음악,0-30분,밤,7000,O,5,0-30분,10-30분,18시 이후!,집,나쁨,좋음,X,X
2023. 10. 12 오후 4:32:47,1학년,여자,창업마케팅과,음악,0-30분,밤,0,X,2,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,집,나쁨,좋음,O,X
2023. 10. 12 오후 4:32:56,1학년,여자,창업마케팅과,음악,0-30분,밤,1600,O,5,30-1시간,30-1시간,17시 ~ 17시 30분,PC방,나쁨,매우 좋음,X,X
2023. 10. 12 오후 4:33:14,1학년,여자,창업마케팅과,음악,30분-1시간,밤,0,X,3,2시간-3시간 이상,10-30분,18시 이후!,PC방,좋음,좋음,O,X
2023. 10. 12 오후 4:34:20,1학년,남자,창업마케팅과,예술,0-30분,방과후(저녁),3000,X,10,1시간-2시간,30-1시간,18시 이후!,집,매우 좋음,매우 나쁨,O,X
2023. 10. 12 오후 4:34:34,1학년,남자,창업마케팅과,게임,0-30분,기타,2000,O,7,30-1시간,10-30분,18시 이후!,집,매우 나쁨,매우 나쁨,X,X
2023. 10. 12 오후 4:34:56,1학년,남자,창업마케팅과,운동,30분-1시간,기타,1900,O,8,2시간-3시간 이상,1시간-2시간,18시 이후!,식당,나쁨,나쁨,O,X
2023. 10. 12 오후 4:35:16,1학년,남자,창업마케팅과,예술,0-30분,방과후(저녁),10000,X,1,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,좋음,X,X
2023. 10. 12 오후 4:36:06,1학년,남자,소프트웨어개발과,기타,2시간-3시간 이상,방과후(저녁),3750,O,9,0-30분,30-1시간,바로 집에 가요!,학원 또는 방과후,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 4:36:08,1학년,여자,창업마케팅과,음악,30분-1시간,밤,2500,X,2,2시간-3시간 이상,30-1시간,17시 30분 ~ 18시,PC방,나쁨,매우 좋음,X,X
2023. 10. 12 오후 4:36:43,1학년,남자,소프트웨어개발과,게임,1시간-2시간,방과후(저녁),1200,O,10,2시간-3시간 이상,30-1시간,18시 이후!,학원 또는 방과후,나쁨,매우 좋음,O,O
2023. 10. 12 오후 4:37:15,1학년,남자,소프트웨어개발과,기타,0-30분,방과후(저녁),3000,O,9,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 4:38:12,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,방과후(저녁),10000,O,8,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,나쁨,X,O
2023. 10. 12 오후 4:39:13,1학년,남자,소프트웨어개발과,운동,30분-1시간,방과후(저녁),5000,O,10,2시간-3시간 이상,1시간-2시간,18시 이후!,학원 또는 방과후,좋음,매우 좋음,X,O
2023. 10. 12 오후 4:39:36,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,방과후(저녁),4000,O,8,1시간-2시간,10-30분,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 4:40:17,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),2000,O,6,0-30분,30-1시간,17시 30분 ~ 18시,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 12 오후 4:43:00,1학년,여자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),3000,O,8,30-1시간,10-30분,17시 ~ 17시 30분,집,좋음,좋음,X,O
2023. 10. 12 오후 4:43:02,1학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),5600,O,10,2시간-3시간 이상,10-30분,18시 이후!,집,좋음,매우 나쁨,X,O
2023. 10. 12 오후 4:43:03,1학년,여자,소프트웨어개발과,게임,1시간-2시간,밤,1000,O,7,2시간-3시간 이상,10-30분,18시 이후!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 4:43:25,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),10000,O,10,0-30분,30-1시간,17시 ~ 17시 30분,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 4:45:04,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,7000,O,6,30-1시간,10-30분,18시 이후!,집,좋음,나쁨,X,O
2023. 10. 12 오후 4:45:24,1학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),3000,O,6,0-30분,10-30분,18시 이후!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 4:46:08,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,3000,X,3,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,O
2023. 10. 12 오후 4:46:12,1학년,여자,소프트웨어개발과,게임,0-30분,기타,8000,O,5,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,나쁨,X,O
2023. 10. 12 오후 4:46:16,1학년,남자,소프트웨어개발과,음악,0-30분,방과후(저녁),3000,X,3,0-30분,10-30분,바로 집에 가요!,집,나쁨,나쁨,X,O
2023. 10. 12 오후 4:48:22,3학년,남자,스마트웹콘텐츠과,기타,0-30분,기타,0,X,0,0-30분,30-1시간,18시 이후!,식당,매우 나쁨,좋음,X,X
2023. 10. 12 오후 4:51:27,3학년,남자,스마트웹콘텐츠과,음악,2시간-3시간 이상,밤,10000,X,5,2시간-3시간 이상,30-1시간,18시 이후!,학원 또는 방과후,매우 나쁨,매우 좋음,X,X
2023. 10. 12 오후 5:04:13,1학년,여자,소프트웨어개발과,음악,1시간-2시간,밤,3600,X,5,30-1시간,10-30분,17시 30분 ~ 18시,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 12 오후 5:05:37,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,밤,4700,O,10,0-30분,10-30분,18시 이후!,집,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 5:18:46,2학년,남자,금융경영과,게임,30분-1시간,밤,3500,O,10,0-30분,30-1시간,바로 집에 가요!,집,좋음,매우 좋음,O,X
2023. 10. 12 오후 5:32:11,2학년,남자,금융경영과,기타,0-30분,방과후(저녁),3000,X,5,2시간-3시간 이상,10-30분,18시 이후!,PC방,좋음,매우 좋음,X,X
2023. 10. 12 오후 5:32:58,2학년,여자,금융경영과,영상시청,2시간-3시간 이상,방과후(저녁),6000,X,5,2시간-3시간 이상,10-30분,18시 이후!,집,매우 나쁨,나쁨,X,X
2023. 10. 12 오후 6:04:49,2학년,남자,소프트웨어개발과,게임,1시간-2시간,밤,2800,O,10,1시간-2시간,30-1시간,바로 집에 가요!,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 6:05:24,2학년,남자,소프트웨어개발과,예술,2시간-3시간 이상,밤,3700,O,10,2시간-3시간 이상,2시간 이상,18시 이후!,집,좋음,좋음,O,O
2023. 10. 12 오후 6:05:36,2학년,남자,소프트웨어개발과,기타,0-30분,밤,2472,O,10,30-1시간,30-1시간,바로 집에 가요!,집,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 6:06:12,2학년,남자,소프트웨어개발과,영상시청,1시간-2시간,밤,3400,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,X,O
2023. 10. 12 오후 6:08:58,2학년,남자,소프트웨어개발과,운동,0-30분,밤,4000,O,6,1시간-2시간,30-1시간,18시 이후!,식당,나쁨,나쁨,O,O
2023. 10. 12 오후 6:09:05,2학년,남자,소프트웨어개발과,운동,1시간-2시간,밤,6000,O,6,0-30분,10-30분,바로 집에 가요!,집,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 6:10:42,2학년,남자,소프트웨어개발과,예술,30분-1시간,밤,3600,O,7,2시간-3시간 이상,1시간-2시간,17시 30분 ~ 18시,집,좋음,좋음,X,X
2023. 10. 12 오후 6:11:46,2학년,남자,소프트웨어개발과,음악,0-30분,방과후(저녁),2500,O,5,1시간-2시간,30-1시간,17시 ~ 17시 30분,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 6:11:47,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,2100,O,6,2시간-3시간 이상,10-30분,18시 이후!,PC방,좋음,매우 좋음,X,O
2023. 10. 12 오후 6:12:23,2학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),3000,O,10,1시간-2시간,1시간-2시간,18시 이후!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 6:12:32,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,5000,O,7,2시간-3시간 이상,10-30분,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 6:13:12,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),1500,O,6,1시간-2시간,30-1시간,18시 이후!,PC방,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 6:14:08,2학년,남자,소프트웨어개발과,게임,1시간-2시간,방과후(저녁),4000,O,5,1시간-2시간,10-30분,바로 집에 가요!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 6:15:08,2학년,남자,소프트웨어개발과,게임,1시간-2시간,기타,4000,O,8,0-30분,30-1시간,17시 30분 ~ 18시,집,좋음,좋음,X,O
2023. 10. 12 오후 6:15:10,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),2500,O,6,2시간-3시간 이상,30-1시간,18시 이후!,PC방,나쁨,매우 좋음,O,O
2023. 10. 12 오후 6:15:42,2학년,남자,소프트웨어개발과,음악,1시간-2시간,밤,10000,O,5,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 6:36:09,2학년,남자,창업마케팅과,음악,30분-1시간,방과후(저녁),3000,O,5,30-1시간,10-30분,17시 ~ 17시 30분,집,매우 좋음,매우 좋음,O,X
2023. 10. 12 오후 6:36:34,2학년,남자,소프트웨어개발과,게임,1시간-2시간,밤,3500,O,5,0-30분,30-1시간,17시 30분 ~ 18시,집,나쁨,좋음,X,O
2023. 10. 12 오후 6:55:54,2학년,여자,금융경영과,영상시청,0-30분,방과후(저녁),0,X,5,2시간-3시간 이상,10-30분,18시 이후!,식당,나쁨,나쁨,X,X
2023. 10. 12 오후 7:04:43,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,3000,O,8,1시간-2시간,1시간-2시간,바로 집에 가요!,집,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 7:07:00,2학년,여자,부사관과,운동,1시간-2시간,밤,0,O,9,1시간-2시간,30-1시간,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 7:08:53,1학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),3400,O,7,0-30분,2시간 이상,18시 이후!,집,매우 나쁨,나쁨,X,O
2023. 10. 12 오후 7:08:58,2학년,여자,부사관과,운동,1시간-2시간,방과후(저녁),2000,O,10,1시간-2시간,30-1시간,17시 30분 ~ 18시,집,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 7:13:53,2학년,남자,부사관과,기타,1시간-2시간,밤,0,O,10,30-1시간,10-30분,17시 30분 ~ 18시,집,매우 좋음,매우 좋음,X,X
2023. 10. 12 오후 7:15:20,2학년,남자,부사관과,운동,2시간-3시간 이상,방과후(저녁),3000,O,8,2시간-3시간 이상,10-30분,18시 이후!,학원 또는 방과후,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 7:19:22,2학년,남자,부사관과,게임,2시간-3시간 이상,방과후(저녁),1000,O,5,2시간-3시간 이상,30-1시간,바로 집에 가요!,집,좋음,좋음,X,O
2023. 10. 12 오후 7:26:17,2학년,남자,부사관과,게임,2시간-3시간 이상,방과후(저녁),3000,O,7,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,나쁨,매우 좋음,X,O
2023. 10. 12 오후 7:30:40,2학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),2500,O,8,0-30분,10-30분,바로 집에 가요!,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 12 오후 7:32:55,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,4500,O,10,0-30분,1시간-2시간,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 7:39:43,1학년,남자,소프트웨어개발과,기타,0-30분,밤,4000,O,7,0-30분,1시간-2시간,18시 이후!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 7:40:16,2학년,남자,부사관과,운동,30분-1시간,방과후(저녁),2000,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 12 오후 8:04:58,2학년,남자,부사관과,운동,1시간-2시간,밤,2400,O,8,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,나쁨,매우 좋음,X,O
2023. 10. 12 오후 8:05:32,2학년,남자,금융경영과,기타,1시간-2시간,방과후(저녁),3600,O,5,2시간-3시간 이상,10-30분,18시 이후!,집,나쁨,나쁨,X,X
2023. 10. 12 오후 8:22:37,2학년,남자,부사관과,운동,2시간-3시간 이상,방과후(저녁),3000,O,8,1시간-2시간,1시간-2시간,18시 이후!,학원 또는 방과후,나쁨,나쁨,X,O
2023. 10. 12 오후 11:42:25,1학년,남자,소프트웨어개발과,운동,0-30분,밤,2400,X,3,0-30분,10-30분,18시 이후!,집,나쁨,매우 나쁨,X,O
2023. 10. 12 오후 11:54:39,2학년,여자,스마트웹콘텐츠과,예술,1시간-2시간,밤,4000,X,5,2시간-3시간 이상,10-30분,18시 이후!,집,매우 나쁨,좋음,X,O
2023. 10. 13 오전 12:24:40,2학년,남자,창업마케팅과,게임,0-30분,기타,6000,X,2,2시간-3시간 이상,30-1시간,18시 이후!,식당,매우 좋음,매우 좋음,O,X
2023. 10. 13 오전 1:12:48,2학년,남자,소프트웨어개발과,운동,0-30분,방과후(저녁),0,X,3,1시간-2시간,10-30분,18시 이후!,식당,매우 나쁨,매우 좋음,X,O
2023. 10. 13 오전 6:29:59,2학년,남자,소프트웨어개발과,기타,1시간-2시간,방과후(저녁),3000,X,6,1시간-2시간,1시간-2시간,18시 이후!,집,나쁨,좋음,X,O
2023. 10. 13 오전 7:15:31,2학년,여자,부사관과,운동,30분-1시간,밤,5000,O,8,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,나쁨,O,O
2023. 10. 13 오전 8:36:09,2학년,남자,소프트웨어개발과,게임,0-30분,방과후(저녁),1000,O,10,0-30분,10-30분,바로 집에 가요!,집,매우 좋음,매우 좋음,X,O
2023. 10. 13 오전 8:56:51,1학년,여자,스마트웹콘텐츠과,예술,0-30분,밤,0,X,8,1시간-2시간,10-30분,바로 집에 가요!,집,매우 좋음,좋음,X,O
2023. 10. 13 오전 8:57:04,1학년,남자,스마트웹콘텐츠과,운동,30분-1시간,밤,0,O,6,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 13 오전 8:57:20,1학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),2160,O,5,30-1시간,30-1시간,17시 ~ 17시 30분,PC방,좋음,나쁨,X,O
2023. 10. 13 오전 8:57:37,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),4000,O,8,30-1시간,30-1시간,18시 이후!,집,좋음,매우 좋음,X,O
2023. 10. 13 오전 8:59:21,1학년,남자,스마트웹콘텐츠과,게임,1시간-2시간,방과후(저녁),3000,O,9,30-1시간,10-30분,17시 ~ 17시 30분,집,좋음,매우 좋음,X,O
2023. 10. 13 오전 8:59:48,1학년,남자,스마트웹콘텐츠과,게임,0-30분,기타,0,O,2,30-1시간,10-30분,바로 집에 가요!,집,매우 나쁨,나쁨,X,X
2023. 10. 13 오전 8:59:49,1학년,남자,스마트웹콘텐츠과,운동,1시간-2시간,밤,3600,X,2,0-30분,30-1시간,18시 이후!,식당,매우 나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:00:01,1학년,남자,스마트웹콘텐츠과,게임,0-30분,밤,2400,X,2,30-1시간,10-30분,18시 이후!,학원 또는 방과후,나쁨,좋음,O,X
2023. 10. 13 오전 9:00:08,1학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),3000,O,7,30-1시간,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,O
2023. 10. 13 오전 9:00:27,1학년,여자,스마트웹콘텐츠과,영상시청,30분-1시간,밤,0,O,5,2시간-3시간 이상,30-1시간,18시 이후!,집,매우 좋음,매우 좋음,X,X
2023. 10. 13 오전 9:00:32,1학년,여자,스마트웹콘텐츠과,예술,0-30분,기타,8000,X,5,1시간-2시간,10-30분,바로 집에 가요!,집,매우 나쁨,좋음,X,O
2023. 10. 13 오전 9:01:17,1학년,남자,스마트웹콘텐츠과,게임,0-30분,밤,1500,X,4,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,나쁨,X,X
2023. 10. 13 오전 9:27:17,1학년,여자,부사관과,예술,1시간-2시간,방과후(저녁),5000,O,8,1시간-2시간,30-1시간,바로 집에 가요!,집,좋음,매우 좋음,X,X
2023. 10. 13 오전 9:27:25,1학년,남자,부사관과,운동,0-30분,방과후(저녁),1800,O,10,2시간-3시간 이상,30-1시간,18시 이후!,식당,매우 나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:27:27,1학년,여자,부사관과,영상시청,1시간-2시간,방과후(저녁),6000,O,5,30-1시간,10-30분,17시 ~ 17시 30분,집,좋음,좋음,X,O
2023. 10. 13 오전 9:27:36,1학년,여자,부사관과,운동,1시간-2시간,밤,5400,O,10,2시간-3시간 이상,30-1시간,18시 이후!,학원 또는 방과후,좋음,매우 나쁨,O,X
2023. 10. 13 오전 9:27:54,1학년,남자,부사관과,운동,1시간-2시간,방과후(저녁),10000,O,10,30-1시간,30-1시간,바로 집에 가요!,집,매우 좋음,매우 좋음,X,X
2023. 10. 13 오전 9:28:04,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),10000,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,X,X
2023. 10. 13 오전 9:28:15,1학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),8000,O,6,30-1시간,10-30분,바로 집에 가요!,집,좋음,나쁨,O,O
2023. 10. 13 오전 9:28:31,1학년,여자,부사관과,영상시청,0-30분,방과후(저녁),7000,O,10,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,좋음,매우 좋음,X,X
2023. 10. 13 오전 9:28:50,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),7000,O,5,2시간-3시간 이상,10-30분,바로 집에 가요!,집,좋음,매우 나쁨,O,X
2023. 10. 13 오전 9:29:37,1학년,여자,부사관과,운동,1시간-2시간,방과후(저녁),5000,O,10,1시간-2시간,30-1시간,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 13 오전 9:29:45,1학년,남자,부사관과,게임,30분-1시간,방과후(저녁),3000,O,8,1시간-2시간,30-1시간,바로 집에 가요!,집,매우 나쁨,좋음,X,X
2023. 10. 13 오전 9:29:52,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),3000,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,X
2023. 10. 13 오전 9:30:25,1학년,여자,부사관과,운동,30분-1시간,방과후(저녁),7000,O,8,2시간-3시간 이상,10-30분,17시 ~ 17시 30분,집,나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:30:31,1학년,여자,부사관과,영상시청,0-30분,밤,3000,O,6,1시간-2시간,2시간 이상,18시 이후!,학원 또는 방과후,매우 좋음,나쁨,X,X
2023. 10. 13 오전 9:30:31,1학년,여자,부사관과,기타,1시간-2시간,밤,7000,O,10,2시간-3시간 이상,10-30분,18시 이후!,학원 또는 방과후,좋음,매우 좋음,X,X
2023. 10. 13 오전 9:30:44,1학년,남자,부사관과,운동,30분-1시간,밤,10000,O,10,30-1시간,30-1시간,18시 이후!,집,나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:31:19,1학년,여자,부사관과,영상시청,1시간-2시간,밤,10000,O,6,1시간-2시간,10-30분,18시 이후!,학원 또는 방과후,나쁨,좋음,X,O
2023. 10. 13 오전 9:32:33,1학년,여자,부사관과,운동,1시간-2시간,밤,7000,O,8,30-1시간,30-1시간,바로 집에 가요!,집,좋음,좋음,X,X
2023. 10. 13 오전 9:32:33,1학년,여자,부사관과,운동,0-30분,밤,2500,O,10,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,매우 좋음,O,X
2023. 10. 13 오전 9:32:51,1학년,남자,부사관과,운동,30분-1시간,방과후(저녁),3600,O,7,30-1시간,10-30분,18시 이후!,PC방,나쁨,매우 나쁨,X,X
2023. 10. 13 오전 10:00:05,1학년,남자,부사관과,운동,0-30분,방과후(저녁),2000,O,9,2시간-3시간 이상,30-1시간,18시 이후!,식당,매우 좋음,좋음,O,X
2023. 10. 13 오전 10:30:19,1학년,여자,부사관과,게임,1시간-2시간,방과후(저녁),4000,O,9,1시간-2시간,30-1시간,17시 30분 ~ 18시,PC방,나쁨,나쁨,O,X
2023. 10. 13 오전 10:57:47,1학년,여자,부사관과,음악,1시간-2시간,방과후(저녁),5000,O,10,1시간-2시간,30-1시간,18시 이후!,식당,좋음,좋음,X,X
2023. 10. 13 오후 2:57:37,2학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),4000,O,7,30-1시간,10-30분,바로 집에 가요!,집,좋음,좋음,X,X
2023. 10. 16 오전 5:30:44,2학년,남자,창업마케팅과,음악,0-30분,밤,10000,O,2,0-30분,10-30분,바로 집에 가요!,집,좋음,매우 좋음,X,X
